camera_number,date,year,month,day,species,time
A1,45806,2025,5,29,狍子,04:40:38
A1,45806,2025,5,29,狍子,06:57:42
A1,45808,2025,5,31,狍子,10:27:04
A2,45797,2025,5,20,赤狐,00:33:50
A2,45806,2025,5,29,山斑鸠,13:46:26
A2A,45786,2025,5,9,狍子,09:08:08
A2A,45786,2025,5,9,狍子,09:45:54
A2A,45793,2025,5,16,狍子,06:44:14
A2A,45803,2025,5,26,狍子,14:17:56
A2A,45804,2025,5,27,狍子,06:43:04
A2A,45807,2025,5,30,狍子,06:12:20
A2A,45808,2025,5,31,野猪,00:52:58
A4,45793,2025,5,16,山斑鸠,12:13:42
A4,45794,2025,5,17,喜鹊,07:49:57
A4,45794,2025,5,17,山斑鸠,13:57:00
A4,45794,2025,5,17,山斑鸠,11:39:40
A4,45794,2025,5,17,山斑鸠,12:30:40
A4,45794,2025,5,17,山斑鸠,13:35:28
A4,45795,2025,5,18,山斑鸠,13:35:28
A9,45790,2025,5,13,狍子,22:08:00
A9,45797,2025,5,20,家牛,11:35:00
A9,45798,2025,5,21,家牛,07:04:00
A9,45799,2025,5,22,狍子,20:00:00
A9,45800,2025,5,23,家牛,11:17:00
A9,45803,2025,5,26,家牛,11:37:00
A9,45806,2025,5,29,人,16:11:00
A16,45788,2025,5,11,山斑鸠,18:20:12
A16,45789,2025,5,12,大嘴乌鸦,11:31:26
A16,45789,2025,5,12,山斑鸠,18:20:00
A16,45791,2025,5,14,大嘴乌鸦,09:45:06
A16,45791,2025,5,14,大嘴乌鸦,12:23:42
A16,45791,2025,5,14,山斑鸠,12:23:42
A16,45791,2025,5,14,喜鹊,13:27:00
A16,45791,2025,5,14,大嘴乌鸦,13:48:40
A16,45792,2025,5,15,大嘴乌鸦,11:40:04
A16,45792,2025,5,15,大嘴乌鸦,12:37:40
A16,45792,2025,5,15,大嘴乌鸦,16:15:10
A16,45792,2025,5,15,山斑鸠,16:15:10
A16,45793,2025,5,16,大嘴乌鸦,08:00:22
A16,45793,2025,5,16,山斑鸠,08:00:22
A16,45794,2025,5,17,山斑鸠,08:36:08
A16,45794,2025,5,17,大嘴乌鸦,08:36:08
A16,45794,2025,5,17,大嘴乌鸦,13:27:43
A16,45794,2025,5,17,山斑鸠,13:27:43
A16,45794,2025,5,17,山斑鸠,14:40:00
A16,45795,2025,5,18,山斑鸠,14:17:42
A16,45798,2025,5,21,山斑鸠,14:28:14
A16,45801,2025,5,24,山斑鸠,16:01:14
A16,45802,2025,5,25,山斑鸠,12:59:40
A16,45803,2025,5,26,山斑鸠,12:44:12
A16,45805,2025,5,28,山斑鸠,09:46:46
A16,45805,2025,5,28,山斑鸠,13:44:16
A16,45805,2025,5,28,山斑鸠,14:23:40
A17,45788,2025,5,11,赤狐,21:33:00
A17,45794,2025,5,17,赤狐,05:23:00
A17,45795,2025,5,18,赤狐,05:17:00
A17,45796,2025,5,19,赤狐,21:31:00
A17,45798,2025,5,21,赤狐,21:13:00
A17,45807,2025,5,30,赤狐,02:24:00
A19,45795,2025,5,18,岩松鼠,05:12:00
A19,45799,2025,5,22,家牛,12:35:00
A19,45801,2025,5,24,狍子,11:18:00
A1,45812,2025,6,4,狍子,05:20:56
A1,45824,2025,6,16,狍子,20:09:52
A1,45827,2025,6,19,狍子,20:11:26
A1,45829,2025,6,21,狍子,08:19:24
A1,45830,2025,6,22,狍子,05:13:16
A1,45830,2025,6,22,狍子,21:06:02
A1,45832,2025,6,24,狍子,20:04:24
A1,45833,2025,6,25,狍子,21:02:00
A1,45834,2025,6,26,赤狐,03:21:00
A1,45834,2025,6,26,家犬,18:59:00
A1,45835,2025,6,27,狍子,19:48:00
A1,45835,2025,6,27,狍子,22:45:00
A1,45836,2025,6,28,狍子,20:32:00
A1,45838,2025,6,30,狍子,20:20:00
A1,45838,2025,6,30,狍子,20:49:00
A2,45810,2025,6,2,山斑鸠,11:07:38
A2,45811,2025,6,3,山斑鸠,13:16:04
A2,45812,2025,6,4,山斑鸠,08:50:50
A2,45812,2025,6,4,山斑鸠,11:26:28
A2,45814,2025,6,6,山斑鸠,11:36:52
A2,45831,2025,6,23,雉鸡,12:45:31
A2,45832,2025,6,24,獾,00:16:27
A2,45832,2025,6,24,雉鸡,10:21:44
A2,45837,2025,6,29,狗獾,23:01:00
A2A,45815,2025,6,7,狍子,19:09:14
A2A,45819,2025,6,11,狍子,00:26:08
A2A,45822,2025,6,14,狍子,13:43:46
A2A,45835,2025,6,27,雉鸡,13:34:00
A2A,45836,2025,6,28,狍子,20:16:00
A2A,45837,2025,6,29,家犬,06:05:00
A2A,45838,2025,6,30,狍子,05:33:00
A3,45817,2025,6,9,狍子,11:36:38
A3,45818,2025,6,10,雉鸡,19:16:34
A3,45820,2025,6,12,狍子,08:47:18
A3,45820,2025,6,12,雉鸡,11:15:56
A3,45824,2025,6,16,雉鸡,14:34:08
A3A,45826,2025,6,18,赤狐,22:01:10
A3A,45837,2025,6,29,狍子,23:43:00
A4,45811,2025,6,3,山斑鸠,16:24:32
A5A,45828,2025,6,20,狍子,19:16:26
A5A,45828,2025,6,20,狍子,19:51:24
