Year,Month,Precipitation(mm),MeanTemp,MaxTemp,MinTemp
1960,1,30,53.6,65.84,41.36
1960,2,13,56.84,68.18,45.32
1960,3,19,63.32,79.34,47.48
1960,4,10,67.64,81.32,53.96
1960,5,94,70.34,80.96,59.540000000000006
1960,6,151,71.96,79.52,64.4
1960,7,282,70.7,76.28,65.12
1960,8,254,71.42,79.34,63.68
1960,9,94,69.08,78.44,59.72
1960,10,63,64.04,72.32,55.94
1960,11,45,59.72,70.34,49.1
1960,12,26,52.34,61.7,43.16
1961,1,6,52.7,65.3,40.28
1961,2,19,54.86,66.74000000000001,42.980000000000004
1961,3,21,61.519999999999996,76.1,46.76
1961,4,58,66.74000000000001,79.7,53.96
1961,5,106,69.44,79.16,59.36
1961,6,182,71.96,80.24000000000001,63.68
1961,7,242,71.78,78.62,64.75999999999999
1961,8,307,70.7,77.72,63.68
1961,9,138,68.72,77.18,60.26
1961,10,91,66.02,74.12,57.92
1961,11,78,57.92,67.82,47.84
1961,12,64,52.879999999999995,63.68,42.08
1962,1,19,49.46,57.74,41.18
1962,2,11,55.94,68.18,43.879999999999995
1962,3,10,60.62,73.94,47.120000000000005
1962,4,48,66.74000000000001,80.42,53.24
1962,5,79,70.34,80.96,59.72
1962,6,298,70.16,76.28,64.04
1962,7,176,72.32,79.34,65.48
1962,8,240,70.16,77.36,63.14
1962,9,59,68.9,78.44,59.540000000000006
1962,10,92,64.75999999999999,72.14,57.379999999999995
1962,11,5,57.379999999999995,68.54,46.04
1962,12,4,52.879999999999995,65.12,40.46
1963,1,4,49.28,60.440000000000005,38.3
1963,2,2,54.32,68.36,40.28
1963,3,24,61.16,75.02,47.48
1963,4,25,66.74000000000001,80.78,52.7
1963,5,49,71.96,83.84,60.440000000000005
1963,6,229,70.88,78.44,63.32
1963,7,251,71.06,77.54,64.58
1963,8,249,70.88,77.72,63.86
1963,9,74,71.06,80.24000000000001,61.88
1963,10,201,63.32,70.34,56.48
1963,11,54,59.540000000000006,69.8,49.46
1963,12,18,52.7,63.32,42.08
1964,1,6,52.16,65.84,38.48
1964,2,14,54.5,67.46,41.36
1964,3,19,61.519999999999996,75.38,47.48
1964,4,34,67.82,80.96,54.5
1964,5,141,69.8,78.08,61.519999999999996
1964,6,208,70.52,77.54,63.5
1964,7,302,70.7,76.82,64.58
1964,8,220,70.88,78.44,63.32
1964,9,118,69.62,77.72,61.519999999999996
1964,10,99,66.2,73.75999999999999,58.64
1964,11,48,57.74,66.2,49.28
1964,12,32,50.72,60.8,40.64
1965,1,22,52.52,64.94,39.92
1965,2,16,56.48,71.24000000000001,41.9
1965,3,10,60.26,75.02,45.5
1965,4,33,67.1,80.42,53.78
1965,5,116,69.8,80.24000000000001,59.36
1965,6,239,69.8,76.28,63.32
1965,7,186,71.06,78.44,63.86
1965,8,219,69.8,76.64,62.959999999999994
1965,9,79,68.0,75.92,60.08
1965,10,234,64.75999999999999,72.14,57.2
1965,11,63,57.92,68.54,47.48
1965,12,84,54.5,63.5,45.5
1966,1,12,55.58,67.64,43.7
1966,2,2,58.82,74.12,43.519999999999996
1966,3,5,63.5,78.62,48.2
1966,4,25,68.54,83.48,53.6
1966,5,138,69.62,78.62,60.440000000000005
1966,6,280,69.44,75.92,62.959999999999994
1966,7,285,71.42,77.54,65.12
1966,8,316,70.16,76.64,63.68
1966,9,102,67.28,74.84,59.72
1966,10,172,64.58,72.14,56.84
1966,11,20,59.540000000000006,68.36,50.9
1966,12,18,55.04,66.74000000000001,43.16
1967,1,30,52.16,62.78,41.54
1967,2,7,54.32,65.48,43.16
1967,3,33,60.980000000000004,74.48,47.66
1967,4,77,64.94,77.18,52.7
1967,5,65,71.06,81.32,60.8
1967,6,174,71.42,79.52,63.32
1967,7,232,71.6,78.25999999999999,64.75999999999999
1967,8,187,71.42,79.52,63.32
1967,9,135,68.18,75.38,60.980000000000004
1967,10,62,63.14,71.24000000000001,55.04
1967,11,109,57.74,66.74000000000001,48.56
1967,12,27,50.72,59.540000000000006,41.9
1968,1,62,52.7,64.22,41.18
1968,2,29,51.26,62.24,40.1
1968,3,10,61.16,74.84,47.66
1968,4,95,63.86,74.84,52.879999999999995
1968,5,76,68.9,79.16,58.64
1968,6,202,69.98,76.64,63.32
1968,7,269,70.7,77.54,63.86
1968,8,309,70.88,77.54,64.22
1968,9,146,69.44,76.64,62.24
1968,10,181,64.75999999999999,71.42,58.28
1968,11,20,59.9,70.52,49.46
1968,12,4,56.3,69.98,42.8
1969,1,8,53.96,68.18,39.56
1969,2,1,55.94,71.6,40.28
1969,3,6,63.68,78.8,48.56
1969,4,23,67.82,82.4,53.24
1969,5,50,73.22,84.56,61.7
1969,6,193,70.88,78.08,63.68
1969,7,268,71.42,78.08,64.75999999999999
1969,8,331,69.98,76.28,63.68
1969,9,73,68.9,77.72,60.08
1969,10,51,65.3,74.3,56.48
1969,11,27,56.84,66.02,47.84
1969,12,11,52.16,61.7,42.44
1970,1,12,52.34,64.58,40.1
1970,2,3,57.2,71.42,42.980000000000004
1970,3,23,61.519999999999996,76.28,46.76
1970,4,68,65.84,78.44,53.42
1970,5,167,69.25999999999999,78.08,60.440000000000005
1970,6,222,70.52,77.72,63.32
1970,7,332,70.52,75.92,65.12
1970,8,232,71.06,79.34,62.78
1970,9,93,69.25999999999999,77.72,60.980000000000004
1970,10,42,63.68,73.04,54.32
1970,11,52,57.92,66.56,49.28
1970,12,94,54.32,63.14,45.5
1971,1,9,50.36,62.24,38.48
1971,2,17,54.32,66.92,41.72
1971,3,25,62.059999999999995,75.02,49.28
1971,4,45,66.74000000000001,79.52,53.96
1971,5,147,68.9,78.08,59.72
