Name,tessellate,extrude,visibility,drawOrder,icon,Type,ServerId,PosType,Longtitude,Latitude,Altitude,Speed,Accuracy,Time,FileId,FileSize,FileName,attach,FileType,FilePath
A1,-1,0,-1,,,Point,18,0,113.282858,37.427508,1420.685304,0,0,1.76466E+12,1520574756,0,pic_1520574756.png,"[{""fileId"":""1520574756"",""fileType"":""0"",""fileName"":""pic_1520574756.png"",""fileSize"":""0""}]",0,pic_1520574756.png
A10,-1,0,-1,,,Point,13,0,113.28093,37.425075,1427.548231,0,0,1.76465E+12,1519829586,0,gerImage_17646532016881347772069=347655127.jpg,"[{""fileId"":""1519829586"",""fileType"":""0"",""fileName"":""gerImage_17646532016881347772069=347655127.jpg"",""fileSize"":""0""}]",0,gerImage_17646532016881347772069=347655127.jpg
A11,-1,0,-1,,,Point,17,0,113.28107,37.426789,1420.408126,0,0,1.76465E+12,1519864282,0,gerImage_1764654143447624945261=112484150.jpg,"[{""fileId"":""1519864282"",""fileType"":""0"",""fileName"":""gerImage_1764654143447624945261=112484150.jpg"",""fileSize"":""0""}]",0,gerImage_1764654143447624945261=112484150.jpg
A12,-1,0,-1,,,Point,5,0,113.282669,37.427344,1421.698755,0,0,1.77502E+12,1582369738,0,pic_1582369738.png,"[{""fileId"":""1582369738"",""fileType"":""0"",""fileName"":""pic_1582369738.png"",""fileSize"":""0""}]",0,pic_1582369738.png
A13,-1,0,-1,,,Point,12,0,113.281793,37.428317,1416.153968,0,0,1.76465E+12,1519827692,0,gerImage_1764646757335452638686=1111317928.jpg,"[{""fileId"":""1519827692"",""fileType"":""0"",""fileName"":""gerImage_1764646757335452638686=1111317928.jpg"",""fileSize"":""0""}]",0,gerImage_1764646757335452638686=1111317928.jpg
A18,-1,0,-1,,,Point,2,0,113.279413,37.429819,1436.492244,0,0,1.76464E+12,1519654114,0,gerImage_17646413745972081967056=521765974.jpg,"[{""fileId"":""1519654114"",""fileType"":""0"",""fileName"":""gerImage_17646413745972081967056=521765974.jpg"",""fileSize"":""0""}]",0,gerImage_17646413745972081967056=521765974.jpg
A22,-1,0,-1,,,Point,1,0,113.28482141264699,113.28482141264699,37.42947473473591,0,0,0,1.77503E+12,0,0,,-1,
A24,-1,0,-1,,,Point,19,0,113.282866,37.427362,1422.310447,0,0,1.76466E+12,1520574857,0,pic_1520574857.png,"[{""fileId"":""1520574857"",""fileType"":""0"",""fileName"":""pic_1520574857.png"",""fileSize"":""0""}]",0,pic_1520574857.png
A25,-1,0,-1,,,Point,32,0,113.282911,37.428338,0,0,0,1.76466E+12,0,0,,,-1,
A26,-1,0,-1,,,Point,33,0,113.283107,37.42816,0,0,0,1.76466E+12,0,0,,,-1,
A28,-1,0,-1,,,Point,34,0,113.283087,37.428418,0,0,0,1.76466E+12,1519784990,0,pic_1519784990.png,"[{""fileId"":""1519784990"",""fileType"":""0"",""fileName"":""pic_1519784990.png"",""fileSize"":""0""}]",0,pic_1519784990.png
A29,-1,0,-1,,,Point,15,0,113.280898,37.424948,1427.90806,0,0,1.76465E+12,1519832329,0,gerImage_1764653830536191922916=128011418.jpg,"[{""fileId"":""1519832329"",""fileType"":""0"",""fileName"":""gerImage_1764653830536191922916=128011418.jpg"",""fileSize"":""0""}]",0,gerImage_1764653830536191922916=128011418.jpg
A2B,-1,0,-1,,,Point,5,0,113.28416051591856,113.28416051591856,37.42886433406296,0,0,0,1.77503E+12,0,0,,-1,
A2C,-1,0,-1,,,Point,6,0,113.28423923967632,113.28423923967632,37.42875110134854,0,0,0,1.77503E+12,0,0,,-1,
A3,-1,0,-1,,,Point,4,0,113.28413878648837,113.28413878648837,37.42910048560907,0,0,0,1.77503E+12,0,0,,-1,
