"Year","Month","Precipitation(mm)","MeanTemp","MaxTemp","MinTemp"
1960,1,30,12,18.8,5.2
1960,2,13,13.8,20.1,7.4
1960,3,19,17.4,26.3,8.6
1960,4,10,19.8,27.4,12.2
1960,5,94,21.3,27.2,15.3
1960,6,151,22.2,26.4,18
1960,7,282,21.5,24.6,18.4
1960,8,254,21.9,26.3,17.6
1960,9,94,20.6,25.8,15.4
1960,10,63,17.8,22.4,13.3
1960,11,45,15.4,21.3,9.5
1960,12,26,11.3,16.5,6.2
1961,1,6,11.5,18.5,4.6
1961,2,19,12.7,19.3,6.1
1961,3,21,16.4,24.5,8.2
1961,4,58,19.3,26.5,12.2
1961,5,106,20.8,26.2,15.2
1961,6,182,22.2,26.8,17.6
1961,7,242,22.1,25.9,18.2
1961,8,307,21.5,25.4,17.6
1961,9,138,20.4,25.1,15.7
1961,10,91,18.9,23.4,14.4
1961,11,78,14.4,19.9,8.8
1961,12,64,11.6,17.6,5.6
1962,1,19,9.7,14.3,5.1
1962,2,11,13.3,20.1,6.6
1962,3,10,15.9,23.3,8.4
1962,4,48,19.3,26.9,11.8
1962,5,79,21.3,27.2,15.4
1962,6,298,21.2,24.6,17.8
1962,7,176,22.4,26.3,18.6
1962,8,240,21.2,25.2,17.3
1962,9,59,20.5,25.8,15.3
1962,10,92,18.2,22.3,14.1
1962,11,5,14.1,20.3,7.8
1962,12,4,11.6,18.4,4.7
1963,1,4,9.6,15.8,3.5
1963,2,2,12.4,20.2,4.6
1963,3,24,16.2,23.9,8.6
1963,4,25,19.3,27.1,11.5
1963,5,49,22.2,28.8,15.8
1963,6,229,21.6,25.8,17.4
1963,7,251,21.7,25.3,18.1
1963,8,249,21.6,25.4,17.7
1963,9,74,21.7,26.8,16.6
1963,10,201,17.4,21.3,13.6
1963,11,54,15.3,21,9.7
1963,12,18,11.5,17.4,5.6
1964,1,6,11.2,18.8,3.6
1964,2,14,12.5,19.7,5.2
1964,3,19,16.4,24.1,8.6
1964,4,34,19.9,27.2,12.5
1964,5,141,21,25.6,16.4
1964,6,208,21.4,25.3,17.5
1964,7,302,21.5,24.9,18.1
1964,8,220,21.6,25.8,17.4
1964,9,118,20.9,25.4,16.4
1964,10,99,19,23.2,14.8
1964,11,48,14.3,19,9.6
1964,12,32,10.4,16,4.8
1965,1,22,11.4,18.3,4.4
1965,2,16,13.6,21.8,5.5
1965,3,10,15.7,23.9,7.5
1965,4,33,19.5,26.9,12.1
1965,5,116,21,26.8,15.2
1965,6,239,21,24.6,17.4
1965,7,186,21.7,25.8,17.7
1965,8,219,21,24.8,17.2
1965,9,79,20,24.4,15.6
1965,10,234,18.2,22.3,14
1965,11,63,14.4,20.3,8.6
1965,12,84,12.5,17.5,7.5
1966,1,12,13.1,19.8,6.5
1966,2,2,14.9,23.4,6.4
1966,3,5,17.5,25.9,9
1966,4,25,20.3,28.6,12
1966,5,138,20.9,25.9,15.8
1966,6,280,20.8,24.4,17.2
1966,7,285,21.9,25.3,18.4
1966,8,316,21.2,24.8,17.6
1966,9,102,19.6,23.8,15.4
1966,10,172,18.1,22.3,13.8
1966,11,20,15.3,20.2,10.5
1966,12,18,12.8,19.3,6.2
1967,1,30,11.2,17.1,5.3
1967,2,7,12.4,18.6,6.2
